訂單編號,訂單狀態,不成立原因,退貨/退款狀態,訂單出貨類型,買家帳號,訂單建立日期,商品名稱,商品SKU,數量,商品原價(NTD),賣家優惠折扣(NTD),蝦皮平台折扣(NTD),小計(NTD),買家付款金額(NTD),蝦皮手續費(NTD),運費補貼-賣家負擔(NTD),賣家實際入帳(NTD)
240205JAPUWP1000,已完成,,已退款,由賣家自行出貨,c***e,2024-02-05 14:27,A1藍牙耳機(白),BT-EAR-A1-WHT,1,1280,0,0,1280,1280,64,0,1216
240205EKWXPV1001,已完成,,已退款,由賣家自行出貨,y***1,2024-02-05 14:40,A1藍牙耳機(白),BT-EAR-A1-WHT,1,1280,0,0,1280,1280,64,0,1216
240205M535E51002,已完成,,退款申請中,由賣家自行出貨,y***1,2024-02-05 15:39,A1藍牙耳機(白),BT-EAR-A1-WHT,1,1280,0,0,1280,1280,64,0,1216
240205M4J93B1003,已完成,,,由賣家自行出貨,c***e,2024-02-05 16:47,A1藍牙耳機(白),BT-EAR-A1-WHT,1,1280,0,0,1280,1280,64,0,1216
2402056HAZTL1004,已完成,,,由賣家自行出貨,s***y,2024-02-05 11:58,A1藍牙耳機(白),BT-EAR-A1-WHT,1,1280,0,0,1280,1280,64,0,1216
240206YN8CS71005,已完成,,已退款,由賣家自行出貨,w***g,2024-02-06 11:40,MagSafe 磁吸充電線 2M,CABLE-MAG-2M,1,490,0,0,490,490,24,0,466
240206S9924W1006,已完成,,已退款,由賣家自行出貨,t***6,2024-02-06 19:11,MagSafe 磁吸充電線 2M,CABLE-MAG-2M,1,490,0,0,490,490,24,0,466
240206JLFZ9Q1007,已完成,,,由賣家自行出貨,p***3,2024-02-06 17:23,MagSafe 磁吸充電線 2M,CABLE-MAG-2M,1,490,0,0,490,490,24,0,466
2402069XE2PQ1008,已完成,,,由賣家自行出貨,w***g,2024-02-06 10:20,MagSafe 磁吸充電線 2M,CABLE-MAG-2M,1,490,0,0,490,490,24,0,466
2402075CHGCH1009,已完成,,已退款,由賣家自行出貨,j***n,2024-02-07 20:08,防水手機袋L號,BAG-WATER-L,1,180,0,0,180,180,9,0,171
240207YQHVCL1010,已完成,,已退款,由賣家自行出貨,k****2,2024-02-07 09:07,防水手機袋L號,BAG-WATER-L,1,180,0,0,180,180,9,0,171
240208RXMEYT1011,已完成,,,由賣家自行出貨,p***3,2024-02-08 19:15,15W無線充電盤(附線),CHG-WL-15W,1,680,0,0,680,680,34,0,646
2402088C8ZHY1012,已完成,,,由賣家自行出貨,t***6,2024-02-08 17:11,15W無線充電盤(附線),CHG-WL-15W,2,680,0,0,680,1360,68,0,1292
240208PW4TDW1013,已完成,,,由賣家自行出貨,s***y,2024-02-08 14:18,15W無線充電盤(附線),CHG-WL-15W,1,680,0,0,680,680,34,0,646
