訂單編號,訂單狀態,不成立原因,退貨/退款狀態,訂單出貨類型,買家帳號,訂單建立日期,商品名稱,商品SKU,數量,商品原價(NTD),賣家優惠折扣(NTD),蝦皮平台折扣(NTD),小計(NTD),買家付款金額(NTD),蝦皮手續費(NTD),運費補貼-賣家負擔(NTD),賣家實際入帳(NTD)
2402052VNE5L1000,已完成,,,由賣家自行出貨,s***y,2024-02-05 13:05,iPhone15 透明保護殼(黑框),CASE-IP15-BLK,1,350,151,0,199,199,10,45,144
240205Y6ETZ71001,已完成,,,由賣家自行出貨,t***6,2024-02-05 08:34,iPhone15 透明保護殼(黑框),CASE-IP15-BLK,2,350,151,0,199,398,20,45,333
2402059V3R6Y1002,已完成,,,由賣家自行出貨,r***8,2024-02-05 16:04,iPhone15 透明保護殼(黑框),CASE-IP15-BLK,1,350,151,0,199,199,10,45,144
240205P9DAWT1003,已完成,,,由賣家自行出貨,s***y,2024-02-05 16:42,iPhone15 透明保護殼(黑框),CASE-IP15-BLK,3,350,151,0,199,597,30,45,522
240205Z4SN5M1004,已完成,,,由賣家自行出貨,k****2,2024-02-05 20:21,iPhone15 透明保護殼(黑框),CASE-IP15-BLK,1,350,151,0,199,199,10,45,144
2402056AF87X1005,已完成,,,由賣家自行出貨,k****2,2024-02-05 17:36,iPhone15 透明保護殼(黑框),CASE-IP15-BLK,2,350,151,0,199,398,20,45,333
2402052HKLDT1006,已完成,,,由賣家自行出貨,k****2,2024-02-05 20:35,iPhone15 透明保護殼(黑框),CASE-IP15-BLK,4,350,151,0,199,796,40,45,711
240205X6CZ7H1007,已完成,,,由賣家自行出貨,k****2,2024-02-05 15:29,iPhone15 透明保護殼(黑框),CASE-IP15-BLK,1,350,151,0,199,199,10,45,144
240206UCVC781008,已完成,,,由賣家自行出貨,m****r,2024-02-06 14:44,防水手機袋L號,BAG-WATER-L,1,180,60,0,120,120,6,30,84
2402064TY9JK1009,已完成,,,由賣家自行出貨,r***8,2024-02-06 20:23,防水手機袋L號,BAG-WATER-L,1,180,60,0,120,120,6,30,84
240206666CG21010,已完成,,,由賣家自行出貨,j***n,2024-02-06 09:31,防水手機袋L號,BAG-WATER-L,1,180,60,0,120,120,6,30,84
240206SGKQX91011,已完成,,,由賣家自行出貨,k****2,2024-02-06 14:29,防水手機袋L號,BAG-WATER-L,1,180,60,0,120,120,6,30,84
240207ZQEP9J1012,已完成,,,由賣家自行出貨,k****2,2024-02-07 18:01,iPhone15 玻璃保護貼(2入),GLASS-IP15-2P,2,299,0,0,299,598,30,0,568
240207K3HXZP1013,已完成,,,由賣家自行出貨,y***1,2024-02-07 14:15,iPhone15 玻璃保護貼(2入),GLASS-IP15-2P,1,299,0,0,299,299,15,0,284
240207WQKMYS1014,已完成,,,由賣家自行出貨,j***n,2024-02-07 19:49,iPhone15 玻璃保護貼(2入),GLASS-IP15-2P,2,299,0,0,299,598,30,0,568
2402073TJAMH1015,已完成,,,由賣家自行出貨,m****r,2024-02-07 13:46,iPhone15 玻璃保護貼(2入),GLASS-IP15-2P,1,299,0,0,299,299,15,0,284
240208UKXQWB1016,已完成,,,由賣家自行出貨,j***n,2024-02-08 09:23,懶人手機支架桌面(可調),STAND-DESK-ADJ,1,420,200,0,220,220,11,45,164
2402088U6SY71017,已完成,,,由賣家自行出貨,r***8,2024-02-08 18:27,懶人手機支架桌面(可調),STAND-DESK-ADJ,2,420,200,0,220,440,22,45,373
240208CBQ25X1018,已完成,,,由賣家自行出貨,r***8,2024-02-08 09:14,懶人手機支架桌面(可調),STAND-DESK-ADJ,1,420,200,0,220,220,11,45,164
2402082SNTVC1019,已完成,,,由賣家自行出貨,s***y,2024-02-08 16:25,懶人手機支架桌面(可調),STAND-DESK-ADJ,1,420,200,0,220,220,11,45,164
