訂單編號,訂單狀態,不成立原因,退貨/退款狀態,訂單出貨類型,買家帳號,訂單建立日期,商品名稱,商品SKU,數量,商品原價(NTD),賣家優惠折扣(NTD),蝦皮平台折扣(NTD),小計(NTD),買家付款金額(NTD),蝦皮手續費(NTD),運費補貼-賣家負擔(NTD),賣家實際入帳(NTD)
240205VJTSZ61000,已完成,,,由賣家自行出貨,s***y,2024-02-05 13:11,iPhone15 玻璃保護貼(2入),GLASS-IP15-2P,2,299,0,0,299,598,30,0,568
240205WFAXUU1001,已完成,,,由賣家自行出貨,y***1,2024-02-05 14:48,iPhone15 玻璃保護貼(2入),GLASS-IP15-2P,1,299,0,0,299,299,15,0,284
2402058QUJMR1002,已完成,,,由賣家自行出貨,w***g,2024-02-05 13:34,iPhone15 玻璃保護貼(2入),GLASS-IP15-2P,1,299,0,0,299,299,15,0,284
240206LDDVV81003,已完成,,,由賣家自行出貨,c***e,2024-02-06 18:17,懶人手機支架桌面(可調),STAND-DESK-ADJ,1,420,0,0,420,420,21,0,399
240206K2S6FX1004,已完成,,,由賣家自行出貨,m****r,2024-02-06 09:09,懶人手機支架桌面(可調),STAND-DESK-ADJ,1,420,0,0,420,420,21,0,399
240206G8FCPR1005,不成立,被買家取消，原因：其他,,由賣家自行出貨,m****r,2024-02-06 10:25,懶人手機支架桌面(可調),STAND-DESK-ADJ,1,420,0,0,420,0,0,0,0
240207QBSZ2F1006,已完成,,,由賣家自行出貨,y***1,2024-02-07 08:24,iPhone15 透明保護殼(黑框),CASE-IP15-BLK,1,350,151,0,199,199,10,45,144
2402073MJQD51007,已完成,,,由賣家自行出貨,m****r,2024-02-07 19:14,iPhone15 透明保護殼(黑框),CASE-IP15-BLK,2,350,151,0,199,398,20,45,333
24020789LUT71008,已完成,,,由賣家自行出貨,w***g,2024-02-07 15:10,iPhone15 透明保護殼(黑框),CASE-IP15-BLK,1,350,151,0,199,199,10,45,144
2402072VVMT71009,已完成,,,由賣家自行出貨,j***n,2024-02-07 17:34,iPhone15 透明保護殼(黑框),CASE-IP15-BLK,1,350,151,0,199,199,10,45,144
